taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
1215;2016-12-12 07:15:00;240;0,4;5,0;3,0;bankkártya
5400;2016-12-16 08:45:00;300;0,0;5,25;2,0;bankkártya
1257;2016-12-03 18:45:00;360;0,3;5,0;0,0;készpénz
2538;2016-12-31 17:15:00;540;0,0;6,75;0,0;készpénz
6594;2016-12-17 12:00:00;153;0,47;4,5;1,0;bankkártya
5856;2016-12-29 18:45:00;300;0,0;5,25;0,0;készpénz
8002;2016-12-19 12:15:00;300;0,9;6,0;2,0;bankkártya
3449;2016-12-02 17:15:00;60;0,0;3,25;0,0;készpénz
2605;2016-12-09 19:00:00;480;0,3;4,75;0,0;készpénz
1098;2016-12-30 12:45:00;660;0,0;14,5;2,0;bankkártya
3514;2016-12-09 09:15:00;600;0,0;10,75;0,0;készpénz
5846;2016-12-19 22:30:00;360;0,8;6,0;2,0;bankkártya
5687;2016-12-06 12:45:00;900;0,1;10,0;0,0;készpénz
2643;2016-12-01 23:45:00;180;0,0;4,25;0,0;készpénz
4359;2016-12-13 19:00:00;780;0,0;7,5;0,0;készpénz
5114;2016-12-13 18:15:00;5100;0,0;48,75;6,0;bankkártya
3465;2016-12-30 12:45:00;240;0,0;5,0;0,0;készpénz
5579;2016-12-16 23:00:00;360;0,86;6,0;0,0;készpénz
8397;2016-12-15 14:00:00;335;0,0;5,0;0,0;készpénz
2643;2016-12-07 17:30:00;3540;0,0;42,75;6,0;bankkártya
4219;2016-12-15 12:30:00;244;0,61;5,0;2,0;bankkártya
4849;2016-12-07 12:00:00;60;0,0;3,25;0,0;készpénz
6361;2016-12-10 14:15:00;360;0,8;6,0;0,0;készpénz
6940;2016-12-04 11:30:00;300;0,8;5,5;0,0;készpénz
733;2016-12-06 15:15:00;300;0,5;5,5;2,0;bankkártya
316;2016-12-02 21:45:00;840;0,7;8,25;0,0;készpénz
4342;2016-12-22 17:15:00;420;0,7;5,75;0,0;készpénz
2819;2016-12-26 22:15:00;240;0,0;5,5;0,0;készpénz
102;2016-12-10 18:30:00;406;0,9;6,0;0,0;készpénz
1587;2016-12-17 21:00:00;2220;0,0;44,5;5,0;bankkártya
2374;2016-12-07 16:30:00;420;0,6;6,0;0,0;készpénz
117;2016-12-23 21:00:00;420;0,8;6,25;0,0;készpénz
3143;2016-12-12 21:30:00;1140;0,3;18,25;3,0;bankkártya
5022;2016-12-07 19:00:00;180;0,6;4,75;2,0;bankkártya
4638;2016-12-21 23:00:00;600;0,0;8,75;3,0;bankkártya
5548;2016-12-12 15:15:00;240;0,8;5,25;0,0;készpénz
2037;2016-12-20 13:00:00;180;0,6;4,75;2,0;bankkártya
5659;2016-12-04 02:00:00;120;0,0;4,75;0,0;készpénz
4531;2016-12-01 21:15:00;540;0,0;7,25;0,0;készpénz
5757;2016-12-10 18:45:00;360;0,7;5,75;0,0;készpénz
